"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25","NO2"
"02/21/2023","52","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","7","36","23","52","30"
"02/22/2023","52","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","9","35","24","52","36"
"02/23/2023","52","PM2.5","Coconut Creek","12-011-5005","AQS","8","34","27","52","32"
"02/24/2023","59","PM2.5","Coconut Creek","12-011-5005","AQS","8","39","24","59","33"
"02/25/2023","54","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","10","33","19","54","31"
"02/26/2023","72","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","8","54","29","72","29"
"02/27/2023","68","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","6","44","28","68","35"
"02/28/2023","70","PM2.5","Near Road - Fort Lauderdale","12-011-0035","AQS","5","44","26","70","30"
"03/01/2023","89","PM2.5","Coconut Creek","12-011-5005","AQS","8","67","40","89","37"
"03/02/2023","55","PM2.5","Coconut Creek","12-011-5005","AQS","7","33","27","55","36"
"03/03/2023","87","PM2.5","Coconut Creek","12-011-5005","AQS","7","42","55","87","30"
"03/04/2023","78","PM2.5","Coconut Creek","12-011-5005","AQS","8","37","35","78","28"
"03/05/2023","57","PM2.5","Coconut Creek","12-011-5005","AQS","7","43","25","57","31"
"03/06/2023","67","PM2.5","Coconut Creek","12-011-5005","AQS","8","45","32","67","42"
"03/07/2023","67","Ozone","Rosenstiel","12-086-0027","AQS","8","67","31","61","30"
"03/08/2023","76","PM2.5","Coconut Creek","12-011-5005","AQS","7","64","37","76","25"
"03/09/2023","53","PM2.5","Coconut Creek","12-011-5005","AQS","6","51","27","53","25"
"03/10/2023","58","Ozone","Lamstein Lane","12-099-0022","AQS","6","58","29","44","45"
"03/11/2023","63","PM2.5","Coconut Creek","12-011-5005","AQS","6","40","28","63","33"
"03/12/2023","65","PM2.5","Coconut Creek","12-011-5005","AQS","7","44","31","65","45"
"03/13/2023","88","PM2.5","Coconut Creek","12-011-5005","AQS","6","38","50","88","31"
"03/14/2023","54","PM2.5","Coconut Creek","12-011-5005","AQS","6","47","26","54","21"
"03/15/2023","48","Ozone","Rosenstiel","12-086-0027","AQS","6","48","23","42","38"
"03/16/2023","46","Ozone","Daniela Banu NCORE","12-011-0034","AQS","6","46","19","29","40"
"03/17/2023","50","NO2","PENNSUCO","12-086-0019","AQS","7","45","26","35","50"
"03/18/2023","63","PM2.5","Coconut Creek","12-011-5005","AQS","8","46","31","63","39"
"03/19/2023","60","PM2.5","Coconut Creek","12-011-5005","AQS","6","43","27","60","35"
"03/20/2023","47","Ozone","Daniela Banu NCORE","12-011-0034","AQS","5","47","17","37","23"
"03/21/2023","49","Ozone","Daniela Banu NCORE","12-011-0034","AQS","6","49","20","39","30"
"03/22/2023","45","Ozone","Daniela Banu NCORE","12-011-0034","AQS","6","45","23","35","44"
"03/23/2023","45","Ozone","Daniela Banu NCORE","12-011-0034","AQS","6","45","23","36","35"
"03/24/2023","43","PM2.5","Coconut Creek","12-011-5005","AQS","7","38","30","43","33"
"03/25/2023","37","PM2.5","Coconut Creek","12-011-5005","AQS","7","33","19","37","21"
"03/26/2023","33","PM2.5","Coconut Creek","12-011-5005","AQS","7","31","16","33","13"
"03/27/2023","51","PM2.5","Coconut Creek","12-011-5005","AQS","7","38","28","51","29"
