time,windspeed_10m_max (mp/h),shortwave_radiation_sum (MJ/m²),et0_fao_evapotranspiration (mm)
2022-01-24,13.2,18.28,3.03
2022-01-25,10.3,15.84,3.03
2022-01-26,13.0,9.17,2.32
2022-01-27,7.7,12.18,2.17
2022-01-28,13.5,14.34,2.87
2022-01-29,23.8,17.92,3.95
2022-01-30,15.2,18.50,3.51
2022-01-31,11.5,17.63,3.65
2022-02-01,16.3,12.03,3.93
2022-02-02,13.4,14.35,3.18
2022-02-03,16.4,16.10,4.10
2022-02-04,15.0,15.69,3.49
2022-02-05,7.8,14.63,2.88
2022-02-06,7.1,15.61,3.02
2022-02-07,8.0,15.30,3.00
2022-02-08,12.9,15.34,3.00
2022-02-09,11.9,6.62,1.42
2022-02-10,14.0,18.08,3.64
2022-02-11,7.6,14.37,3.01
2022-02-12,8.2,15.72,2.98
2022-02-13,15.6,9.50,2.01
2022-02-14,18.4,18.67,4.01
2022-02-15,20.7,11.47,4.28
2022-02-16,18.4,13.39,3.97
2022-02-17,17.9,16.60,3.29
2022-02-18,12.7,17.19,3.37
2022-02-19,10.9,15.42,2.93
2022-02-20,16.3,10.77,3.03
2022-02-21,11.9,16.00,3.54
2022-02-22,15.4,16.12,3.79
2022-02-23,14.4,19.27,4.02
2022-02-24,11.4,15.89,3.73
2022-02-25,11.4,19.14,4.57
2022-02-26,10.8,19.44,4.50
2022-02-27,9.2,16.61,3.55
2022-02-28,11.0,17.05,3.65
2022-03-01,12.9,18.83,3.86
2022-03-02,10.4,15.67,3.34
2022-03-03,12.0,16.99,3.85
2022-03-04,18.0,18.08,4.74
2022-03-05,21.7,17.67,5.31
2022-03-06,20.3,18.11,4.96
2022-03-07,18.9,16.48,4.12
2022-03-08,14.2,18.60,4.05
2022-03-09,14.6,19.00,4.32
2022-03-10,14.6,18.73,4.07
2022-03-11,14.6,20.66,4.36
2022-03-12,22.9,17.43,5.11
2022-03-13,20.8,15.12,4.92
2022-03-14,17.6,10.03,3.95
2022-03-15,17.2,16.09,3.55
2022-03-16,14.8,18.25,3.70
2022-03-17,9.2,18.65,3.55
2022-03-18,10.3,22.91,4.36
2022-03-19,10.6,21.70,4.35
2022-03-20,11.5,19.52,3.86
2022-03-21,17.9,23.69,5.22
2022-03-22,16.3,20.12,5.21
2022-03-23,17.1,20.21,4.74
2022-03-24,17.4,20.40,4.66
2022-03-25,14.1,19.13,4.25
2022-03-26,13.4,25.79,5.46
2022-03-27,15.7,26.00,6.34
2022-03-28,9.3,24.86,5.54
2022-03-29,10.5,25.86,5.54
2022-03-30,19.9,19.58,5.61
2022-03-31,21.9,19.47,5.73
2022-04-01,14.8,20.88,4.60
2022-04-02,14.0,21.74,4.26
2022-04-03,9.1,18.17,3.65
2022-04-04,9.9,17.73,3.39
2022-04-05,16.1,22.38,4.74
2022-04-06,15.2,21.07,4.69
2022-04-07,14.4,21.63,4.70
2022-04-08,13.6,19.25,5.12
2022-04-09,17.0,25.06,6.84
2022-04-10,15.2,27.42,6.21
2022-04-11,14.5,25.71,6.07
2022-04-12,16.0,20.55,5.99
2022-04-13,16.2,18.51,5.50
2022-04-14,15.7,21.85,5.03
2022-04-15,12.4,17.71,3.51
2022-04-16,11.4,21.41,4.37
2022-04-17,12.6,25.68,5.04
2022-04-18,10.6,22.18,4.58
2022-04-19,16.1,23.41,4.79
2022-04-20,17.9,21.97,5.13
2022-04-21,19.5,23.18,5.86
2022-04-22,20.3,21.72,4.70
2022-04-23,17.8,22.65,5.46
2022-04-24,15.3,25.85,6.13
2022-04-25,13.4,23.54,5.35
2022-04-26,11.2,24.61,5.43
2022-04-27,9.1,23.07,5.16
2022-04-28,10.5,23.20,4.77
2022-04-29,9.3,17.35,3.43
2022-04-30,9.4,21.81,4.21
2022-05-01,11.0,24.60,5.14
2022-05-02,13.3,24.48,5.13
2022-05-03,12.9,22.84,4.72
2022-05-04,7.1,23.90,4.53
2022-05-05,7.1,24.51,4.91
2022-05-06,9.9,24.76,5.39
2022-05-07,14.9,22.36,5.66
2022-05-08,11.5,21.56,4.59
2022-05-09,14.9,22.60,4.79
2022-05-10,16.2,27.32,6.59
2022-05-11,16.6,20.48,5.09
2022-05-12,14.0,23.75,4.72
2022-05-13,12.3,25.03,5.02
2022-05-14,10.9,24.57,4.95
2022-05-15,11.2,24.26,4.94
2022-05-16,11.9,21.52,4.52
2022-05-17,9.3,23.73,4.73
2022-05-18,9.3,25.86,5.40
2022-05-19,11.6,24.02,5.16
2022-05-20,17.4,13.86,2.98
2022-05-21,15.0,23.99,4.99
2022-05-22,15.3,23.68,5.04
2022-05-23,13.4,25.80,5.56
2022-05-24,13.7,26.65,6.22
2022-05-25,14.6,24.65,6.21
2022-05-26,15.2,27.03,6.12
2022-05-27,13.0,24.92,5.84
2022-05-28,12.2,24.08,5.46
2022-05-29,14.0,22.86,4.61
2022-05-30,16.6,16.27,3.91
2022-05-31,11.4,19.96,3.99
2022-06-01,7.1,24.31,4.74
2022-06-02,12.6,18.28,3.46
2022-06-03,17.0,2.93,1.50
2022-06-04,22.5,15.40,3.31
2022-06-05,9.1,23.18,4.77
2022-06-06,11.5,20.81,4.04
2022-06-07,16.6,14.78,2.91
2022-06-08,9.9,23.74,4.57
2022-06-09,8.8,20.22,4.03
2022-06-10,11.9,19.25,3.78
