,temperature_2m,relativehumidity_2m,dewpoint_2m,precipitation,windspeed_10m,shortwave_radiation,time_local,year,month,day
670,,,,,,,22,2015,01,28
671,,,,,,,23,2015,01,28
672,,,,,,,00,2015,01,29
673,,,,,,,01,2015,01,29
674,,,,,,,02,2015,01,29
675,,,,,,,03,2015,01,29
676,,,,,,,04,2015,01,29
677,,,,,,,05,2015,01,29
678,,,,,,,06,2015,01,29
679,,,,,,,07,2015,01,29
680,,,,,,,08,2015,01,29
681,,,,,,,09,2015,01,29
682,,,,,,,10,2015,01,29
683,,,,,,,11,2015,01,29
684,,,,,,,12,2015,01,29
685,,,,,,,13,2015,01,29
686,,,,,,,14,2015,01,29
687,,,,,,,15,2015,01,29
688,,,,,,,16,2015,01,29
689,,,,,,,17,2015,01,29
690,,,,,,,18,2015,01,29
691,,,,,,,19,2015,01,29
692,,,,,,,20,2015,01,29
693,,,,,,,21,2015,01,29
694,,,,,,,22,2015,01,29
695,,,,,,,23,2015,01,29
696,,,,,,,00,2015,01,30
697,,,,,,,01,2015,01,30
698,,,,,,,02,2015,01,30
699,,,,,,,03,2015,01,30
700,,,,,,,04,2015,01,30
701,,,,,,,05,2015,01,30
702,,,,,,,06,2015,01,30
703,,,,,,,07,2015,01,30
704,,,,,,,08,2015,01,30
705,,,,,,,09,2015,01,30
706,,,,,,,10,2015,01,30
707,,,,,,,11,2015,01,30
708,,,,,,,12,2015,01,30
709,,,,,,,13,2015,01,30
710,,,,,,,14,2015,01,30
711,,,,,,,15,2015,01,30
712,,,,,,,16,2015,01,30
713,,,,,,,17,2015,01,30
714,,,,,,,18,2015,01,30
715,,,,,,,19,2015,01,30
716,,,,,,,20,2015,01,30
717,,,,,,,21,2015,01,30
718,,,,,,,22,2015,01,30
719,,,,,,,23,2015,01,30
720,,,,,,,00,2015,01,31
721,,,,,,,01,2015,01,31
722,,,,,,,02,2015,01,31
723,,,,,,,03,2015,01,31
724,,,,,,,04,2015,01,31
725,,,,,,,05,2015,01,31
726,,,,,,,06,2015,01,31
727,,,,,,,07,2015,01,31
728,,,,,,,08,2015,01,31
729,,,,,,,09,2015,01,31
730,,,,,,,10,2015,01,31
731,,,,,,,11,2015,01,31
732,,,,,,,12,2015,01,31
733,,,,,,,13,2015,01,31
734,,,,,,,14,2015,01,31
735,,,,,,,15,2015,01,31
736,,,,,,,16,2015,01,31
737,,,,,,,17,2015,01,31
738,,,,,,,18,2015,01,31
739,,,,,,,19,2015,01,31
740,,,,,,,20,2015,01,31
741,,,,,,,21,2015,01,31
742,,,,,,,22,2015,01,31
743,,,,,,,23,2015,01,31
744,,,,,,,00,2015,02,01
745,,,,,,,01,2015,02,01
746,,,,,,,02,2015,02,01
747,,,,,,,03,2015,02,01
748,,,,,,,04,2015,02,01
749,,,,,,,05,2015,02,01
750,,,,,,,06,2015,02,01
751,,,,,,,07,2015,02,01
752,,,,,,,08,2015,02,01
753,,,,,,,09,2015,02,01
754,,,,,,,10,2015,02,01
755,,,,,,,11,2015,02,01
756,,,,,,,12,2015,02,01
757,,,,,,,13,2015,02,01
758,,,,,,,14,2015,02,01
759,,,,,,,15,2015,02,01
760,,,,,,,16,2015,02,01
761,,,,,,,17,2015,02,01
762,,,,,,,18,2015,02,01
763,,,,,,,19,2015,02,01
764,,,,,,,20,2015,02,01
765,,,,,,,21,2015,02,01
766,,,,,,,22,2015,02,01
767,,,,,,,23,2015,02,01
768,,,,,,,00,2015,02,02
769,,,,,,,01,2015,02,02
770,,,,,,,02,2015,02,02
771,,,,,,,03,2015,02,02
772,,,,,,,04,2015,02,02
773,,,,,,,05,2015,02,02
774,,,,,,,06,2015,02,02
775,,,,,,,07,2015,02,02
776,,,,,,,08,2015,02,02
777,,,,,,,09,2015,02,02
778,,,,,,,10,2015,02,02
779,,,,,,,11,2015,02,02
780,,,,,,,12,2015,02,02
781,,,,,,,13,2015,02,02
782,,,,,,,14,2015,02,02
783,,,,,,,15,2015,02,02
784,,,,,,,16,2015,02,02
785,,,,,,,17,2015,02,02
786,,,,,,,18,2015,02,02
787,,,,,,,19,2015,02,02
