day,month,year,daily_high_temperature
7.0,6.0,2018.0,82.6
7.0,6.0,2019.0,88.3
7.0,6.0,2020.0,87.6
7.0,6.0,2021.0,85.6
7.0,6.0,2022.0,82.9
7.0,6.0,2023.0,85.0
7.0,7.0,2015.0,88.6
7.0,7.0,2016.0,89.2
7.0,7.0,2017.0,87.1
7.0,7.0,2018.0,86.7
7.0,7.0,2019.0,86.9
7.0,7.0,2020.0,88.1
7.0,7.0,2021.0,87.3
7.0,7.0,2022.0,86.4
7.0,7.0,2023.0,89.4
7.0,8.0,2015.0,93.9
7.0,8.0,2016.0,88.8
7.0,8.0,2017.0,88.1
7.0,8.0,2018.0,86.9
7.0,8.0,2019.0,86.7
7.0,8.0,2020.0,87.7
7.0,8.0,2021.0,86.6
7.0,8.0,2022.0,84.5
7.0,8.0,2023.0,90.7
7.0,9.0,2015.0,85.3
7.0,9.0,2016.0,83.3
7.0,9.0,2017.0,87.8
7.0,9.0,2018.0,82.5
7.0,9.0,2019.0,88.0
7.0,9.0,2020.0,82.5
7.0,9.0,2021.0,86.5
7.0,9.0,2022.0,88.6
7.0,9.0,2023.0,87.1
7.0,10.0,2015.0,83.4
7.0,10.0,2016.0,86.5
7.0,10.0,2017.0,85.8
7.0,10.0,2018.0,83.2
7.0,10.0,2019.0,82.7
7.0,10.0,2020.0,86.2
7.0,10.0,2021.0,85.9
7.0,10.0,2022.0,82.9
7.0,11.0,2015.0,84.6
7.0,11.0,2016.0,78.3
7.0,11.0,2017.0,80.6
7.0,11.0,2018.0,83.2
7.0,11.0,2019.0,84.2
7.0,11.0,2020.0,79.5
7.0,11.0,2021.0,73.7
7.0,11.0,2022.0,81.8
7.0,12.0,2015.0,75.1
7.0,12.0,2016.0,81.6
7.0,12.0,2017.0,80.6
7.0,12.0,2018.0,77.3
7.0,12.0,2019.0,77.9
7.0,12.0,2020.0,76.9
7.0,12.0,2021.0,80.8
7.0,12.0,2022.0,78.3
8.0,1.0,2015.0,70.2
8.0,1.0,2016.0,74.7
8.0,1.0,2017.0,66.6
8.0,1.0,2018.0,75.2
8.0,1.0,2019.0,79.3
8.0,1.0,2020.0,75.1
8.0,1.0,2021.0,74.4
8.0,1.0,2022.0,76.9
8.0,1.0,2023.0,76.8
8.0,2.0,2015.0,74.9
8.0,2.0,2016.0,65.5
8.0,2.0,2017.0,83.3
8.0,2.0,2018.0,79.1
8.0,2.0,2019.0,77.2
8.0,2.0,2020.0,74.4
8.0,2.0,2021.0,81.3
8.0,2.0,2022.0,77.1
8.0,2.0,2023.0,77.5
8.0,3.0,2015.0,75.6
8.0,3.0,2016.0,74.9
8.0,3.0,2017.0,78.2
8.0,3.0,2018.0,73.0
8.0,3.0,2019.0,76.5
8.0,3.0,2020.0,71.5
8.0,3.0,2021.0,70.3
8.0,3.0,2022.0,81.9
8.0,3.0,2023.0,84.4
8.0,4.0,2015.0,81.9
8.0,4.0,2016.0,81.6
8.0,4.0,2017.0,77.6
8.0,4.0,2018.0,84.6
8.0,4.0,2019.0,82.8
8.0,4.0,2020.0,87.5
8.0,4.0,2021.0,78.6
8.0,4.0,2022.0,81.8
8.0,4.0,2023.0,83.2
8.0,5.0,2015.0,85.4
8.0,5.0,2016.0,80.1
8.0,5.0,2017.0,84.2
8.0,5.0,2018.0,84.2
8.0,5.0,2019.0,82.3
8.0,5.0,2020.0,82.4
8.0,5.0,2021.0,81.1
8.0,5.0,2022.0,86.9
8.0,5.0,2023.0,82.6
8.0,6.0,2015.0,84.8
8.0,6.0,2016.0,82.8
8.0,6.0,2017.0,83.2
8.0,6.0,2018.0,84.4
8.0,6.0,2019.0,86.8
8.0,6.0,2020.0,86.1
8.0,6.0,2021.0,86.0
8.0,6.0,2022.0,85.5
8.0,6.0,2023.0,83.7
8.0,7.0,2015.0,87.9
8.0,7.0,2016.0,88.7
8.0,7.0,2017.0,86.9
8.0,7.0,2018.0,86.3
8.0,7.0,2019.0,84.3
8.0,7.0,2020.0,89.1
8.0,7.0,2021.0,86.1
8.0,7.0,2022.0,86.4
8.0,7.0,2023.0,90.0
8.0,8.0,2015.0,91.7
8.0,8.0,2016.0,84.6
8.0,8.0,2017.0,88.8
8.0,8.0,2018.0,87.3
8.0,8.0,2019.0,87.6
8.0,8.0,2020.0,88.2
8.0,8.0,2021.0,87.3
8.0,8.0,2022.0,86.7
8.0,8.0,2023.0,90.0
8.0,9.0,2015.0,88.1
8.0,9.0,2016.0,85.0
8.0,9.0,2017.0,88.2
8.0,9.0,2018.0,83.7
8.0,9.0,2019.0,87.4
8.0,9.0,2020.0,83.3
8.0,9.0,2021.0,86.6
8.0,9.0,2022.0,87.6
8.0,9.0,2023.0,87.1
8.0,10.0,2015.0,84.7
8.0,10.0,2016.0,88.0
8.0,10.0,2017.0,86.4
